Thu Dec  1 16:36:25 2022    ./Profile

         95017 function calls (92189 primitive calls) in 82.785 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      387    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        6    0.000    0.000    0.000    0.000 enum.py:932(__or__)
       10    0.000    0.000    0.000    0.000 core.py:6425(isMaskedArray)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       40    0.000    0.000    0.000    0.000 numerictypes.py:282(issubclass_)
       38    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       48    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        4    0.000    0.000    0.000    0.000 re.py:203(sub)
        1    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(count_nonzero)
      217    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       44    0.000    0.000    0.000    0.000 getlimits.py:672(max)
      107    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
