Thu Dec  1 16:04:08 2022    ./Profile

         104550 function calls (101758 primitive calls) in 5.073 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
       21    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
      217    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(broadcast_to)
        3    0.000    0.000    0.000    0.000 enum.py:899(_create_pseudo_member_)
       40    0.000    0.000    0.000    0.000 enum.py:506(<lambda>)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f79e209e310}
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      107    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 datetime.py:789(date)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       48    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 stride_tricks.py:367(broadcast_to)
      352    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       76    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       11    0.000    0.000    0.000    0.000 abc.py:89(register)
        1    0.000    0.000    0.000    0.000 numeric.py:2354(within_tol)
        3    0.000    0.000    0.000    0.000 enum.py:978(_decompose)
      892    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 stride_tricks.py:340(_broadcast_to)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(all)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
      175    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      394    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      159    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
